Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
4145caa2c999fbac,Dennis Dombrow,No Nickname,,145.0,,Orthodox,False,,,7.0,5.0,0.0,,,,,,,,,,,,
4148802ae4a50768,Daniel Zellhuber,Golden Boy,6.1,155.0,77.0,Switch,False,Male,Lightweight,15.0,3.0,0.0,834.33,0.0,77.83,0.0,0.17,6.0,0.4,0.17,0.0,0.33,0.67,Hybrid
41498c2d1a87b154,Zviad Lazishvili,No Nickname,5.6,135.0,69.0,Orthodox,False,Male,Bantamweight,13.0,1.0,0.0,900.0,0.0,63.0,0.0,0.0,90.0,0.39,0.0,0.0,0.0,0.0,Hybrid
414bddf0c80c41e1,Josh Diekmann,The Freight Train,5.4,246.0,,Orthodox,False,,,15.0,8.0,0.0,,,,,,,,,,,,
41904fc4d3f5bffc,Ariel Gandulla,No Nickname,5.11,205.0,,Orthodox,False,,,7.0,9.0,0.0,,,,,,,,,,,,
41b34b7f11f6d085,Levi Alford,No Nickname,,,,Orthodox,False,,,1.0,7.0,0.0,,,,,,,,,,,,
41cc71cbf210e0fe,Hyder Amil,The Hurricane,5.9,145.0,70.0,Switch,False,Male,Featherweight,11.0,2.0,0.0,464.6,0.2,40.8,1.6,0.2,148.0,0.52,0.2,0.33,0.0,0.67,Striker
41dca66f9dadfc86,Miika Mehmet,No Nickname,,205.0,,Orthodox,False,,,3.0,5.0,0.0,,,,,,,,,,,,
41e77dc504a192c6,Chris Condo,No Nickname,6.0,335.0,,Orthodox,False,Male,Heavyweight,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,No Clear Style
41e83a89929d1327,Jailton Almeida,Malhadinho,6.3,237.0,79.0,Orthodox,False,Male,Heavyweight,22.0,4.0,0.0,459.4,0.0,13.8,3.0,0.9,312.2,0.59,0.9,0.33,0.5,0.17,Wrestler
41f3cfdab0b22236,Achilles Estremadura,No Nickname,5.1,155.0,68.0,Orthodox,False,,,7.0,1.0,0.0,,,,,,,,,,,,
41f90012b86a11bf,Raphael Pessoa,Bebezao,6.3,262.0,78.0,Orthodox,False,Male,Heavyweight,10.0,2.0,0.0,536.0,0.33,19.33,0.0,0.0,2.0,0.26,0.0,0.0,0.0,1.0,No Clear Style
42078a86d3dd037b,Rob Yundt,Monster,6.1,185.0,,Orthodox,False,Male,Middleweight,9.0,5.0,0.0,153.0,0.0,3.5,0.5,0.0,68.0,0.5,0.0,0.0,0.0,0.0,Hybrid
421ccfc6ddb17958,Sam Liera,No Nickname,,,,Orthodox,False,,,12.0,10.0,0.0,,,,,,,,,,,,
4234f0097c83fa62,Sijara Eubanks,SarJ,5.4,125.0,67.0,Orthodox,False,Female,Women's Flyweight,8.0,7.0,0.0,807.4,0.2,58.7,1.1,0.0,182.4,0.46,0.0,0.29,0.0,0.71,Striker
4252b09f0c8c4472,Guilherme Uriel,Urso,6.1,265.0,74.0,Orthodox,False,,,6.0,2.0,0.0,,,,,,,,,,,,
42611508ba8c3298,Johnny Cisneros,The Tattooed Terror,5.11,170.0,,Orthodox,False,,,9.0,6.0,0.0,,,,,,,,,,,,
42775dc893603154,Brian Davidson,No Nickname,5.6,145.0,,Orthodox,False,,,13.0,4.0,0.0,,,,,,,,,,,,
427b5953ac8e3a27,Demian Maia,No Nickname,6.1,170.0,72.0,Southpaw,False,Male,Welterweight,28.0,11.0,0.0,744.85,0.09,25.48,1.64,0.73,255.55,0.49,0.73,0.04,0.44,0.52,Wrestler
42883268854b78be,Derek Getzel,The Pretzel,6.0,155.0,,Orthodox,False,,,8.0,5.0,0.0,,,,,,,,,,,,
